Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,6215.000000,6270.000000,6155.000000,6225.000000,6026.060547,112286000
2021-04-05,6250.000000,6290.000000,6155.000000,6155.000000,5958.297852,73311500
2021-04-06,6135.000000,6170.000000,6080.000000,6165.000000,5967.978027,80215000
2021-04-07,6155.000000,6275.000000,6135.000000,6250.000000,6050.261719,107908000
2021-04-08,6200.000000,6215.000000,6125.000000,6135.000000,6022.187500,123697500
2021-04-09,6315.000000,6320.000000,6145.000000,6200.000000,6085.992188,116961000
2021-04-12,6295.000000,6295.000000,6060.000000,6065.000000,5953.474609,110411500
2021-04-13,6050.000000,6060.000000,5980.000000,6000.000000,5889.669922,119211500
2021-04-14,6105.000000,6305.000000,6060.000000,6305.000000,6189.061523,135519500
2021-04-15,6305.000000,6310.000000,6180.000000,6280.000000,6164.520996,102686500
2021-04-16,6370.000000,6370.000000,6215.000000,6275.000000,6159.612793,79293500
2021-04-19,6275.000000,6280.000000,6230.000000,6270.000000,6154.705078,47095000
2021-04-20,6200.000000,6250.000000,6185.000000,6235.000000,6120.348633,72721000
2021-04-21,6200.000000,6225.000000,6165.000000,6165.000000,6051.635742,68397000
2021-04-22,6200.000000,6275.000000,6180.000000,6215.000000,6100.716309,63758000
2021-04-23,6280.000000,6395.000000,6225.000000,6390.000000,6272.498535,108498500
2021-04-26,6395.000000,6400.000000,6280.000000,6285.000000,6169.429199,108742000
2021-04-27,6370.000000,6435.000000,6355.000000,6405.000000,6287.222656,132650000
2021-04-28,6400.000000,6405.000000,6315.000000,6320.000000,6203.785645,87660000
2021-04-29,6460.000000,6460.000000,6360.000000,6410.000000,6292.130859,57355000
2021-04-30,6450.000000,6450.000000,6380.000000,6405.000000,6287.222656,65829500
2021-05-03,6480.000000,6480.000000,6345.000000,6390.000000,6272.498535,42065500
2021-05-04,6350.000000,6430.000000,6340.000000,6400.000000,6282.314453,50123500
2021-05-05,6420.000000,6430.000000,6400.000000,6425.000000,6306.854980,51685000
2021-05-06,6400.000000,6450.000000,6400.000000,6425.000000,6306.854980,38115500
2021-05-07,6460.000000,6460.000000,6385.000000,6400.000000,6282.314453,48864000
2021-05-10,6400.000000,6420.000000,6395.000000,6420.000000,6301.946777,68180500
2021-05-11,6400.000000,6480.000000,6305.000000,6480.000000,6360.843262,70680000
2021-05-17,6500.000000,6500.000000,6375.000000,6500.000000,6380.475586,129058500
2021-05-18,6400.000000,6455.000000,6365.000000,6390.000000,6272.498535,73563000
2021-05-19,6380.000000,6400.000000,6335.000000,6345.000000,6228.326172,64912500
2021-05-20,6390.000000,6435.000000,6350.000000,6380.000000,6262.682129,64950000
2021-05-21,6450.000000,6450.000000,6260.000000,6360.000000,6243.050293,92620000
2021-05-24,6355.000000,6380.000000,6290.000000,6325.000000,6208.693848,59210000
2021-05-25,6300.000000,6440.000000,6300.000000,6355.000000,6238.142578,87470000
2021-05-27,6440.000000,6480.000000,6270.000000,6270.000000,6154.705078,537971500
2021-05-28,6330.000000,6370.000000,6330.000000,6340.000000,6223.417969,102108500
2021-05-31,6360.000000,6390.000000,6325.000000,6375.000000,6257.774414,101442000
2021-06-02,6500.000000,6515.000000,6420.000000,6465.000000,6346.119629,141732500
2021-06-03,6495.000000,6600.000000,6430.000000,6600.000000,6478.636719,133810500
2021-06-04,6620.000000,6620.000000,6500.000000,6580.000000,6459.004395,62108500
2021-06-07,6560.000000,6570.000000,6430.000000,6530.000000,6409.924316,62576000
2021-06-08,6575.000000,6575.000000,6430.000000,6430.000000,6311.763184,64348000
2021-06-09,6360.000000,6535.000000,6360.000000,6530.000000,6409.924316,77198000
2021-06-10,6555.000000,6620.000000,6490.000000,6620.000000,6498.269043,73262500
2021-06-11,6570.000000,6580.000000,6460.000000,6470.000000,6351.027344,72780500
2021-06-14,6520.000000,6520.000000,6400.000000,6410.000000,6292.130859,61478500
2021-06-15,6445.000000,6470.000000,6405.000000,6470.000000,6351.027344,87799000
2021-06-16,6420.000000,6435.000000,6360.000000,6385.000000,6267.590332,48984000
2021-06-17,6390.000000,6390.000000,6275.000000,6330.000000,6213.602051,68448500
2021-06-18,6300.000000,6345.000000,6280.000000,6325.000000,6208.693848,118043000
2021-06-21,6300.000000,6300.000000,6210.000000,6250.000000,6135.073242,60823500
2021-06-22,6250.000000,6390.000000,6240.000000,6340.000000,6223.417969,65824000
2021-06-23,6295.000000,6340.000000,6230.000000,6230.000000,6115.440918,52451000
2021-06-24,6310.000000,6310.000000,6200.000000,6210.000000,6095.808594,56010000
2021-06-25,6230.000000,6260.000000,6190.000000,6190.000000,6076.176270,68939500
2021-06-28,6100.000000,6150.000000,6055.000000,6055.000000,5943.658691,84420500
2021-06-29,6050.000000,6090.000000,6040.000000,6045.000000,5933.842773,53704000
2021-06-30,6000.000000,6070.000000,6000.000000,6025.000000,5914.210449,65795000
2021-07-01,6060.000000,6075.000000,6000.000000,6025.000000,5914.210449,58153000
2021-07-02,6070.000000,6140.000000,6040.000000,6100.000000,5987.831055,67392500
2021-07-05,6100.000000,6130.000000,6070.000000,6110.000000,5997.647461,39710500
2021-07-06,6110.000000,6110.000000,6055.000000,6055.000000,5943.658691,34279500
2021-07-07,6180.000000,6180.000000,6030.000000,6065.000000,5953.474609,35595000
2021-07-08,6000.000000,6040.000000,5980.000000,6015.000000,5904.394043,47297000
2021-07-09,6010.000000,6020.000000,5990.000000,6020.000000,5909.302246,40707500
2021-07-12,6070.000000,6180.000000,6020.000000,6170.000000,6056.543945,65981500
2021-07-13,6170.000000,6175.000000,6015.000000,6045.000000,5933.842773,65946500
2021-07-14,6020.000000,6030.000000,5980.000000,5990.000000,5879.854004,59321000
2021-07-15,6000.000000,6115.000000,5995.000000,6115.000000,6002.555176,49724000
2021-07-16,6170.000000,6170.000000,6055.000000,6110.000000,5997.647461,47998500
2021-07-19,6110.000000,6110.000000,6005.000000,6005.000000,5894.578125,47119000
2021-07-21,6050.000000,6120.000000,6010.000000,6010.000000,5899.486328,55009500
2021-07-22,6115.000000,6155.000000,6050.000000,6155.000000,6041.819824,60792000
2021-07-23,6180.000000,6190.000000,6025.000000,6035.000000,5924.026367,79938000
2021-07-26,6040.000000,6060.000000,6005.000000,6005.000000,5894.578125,48171500
2021-07-27,6005.000000,6060.000000,6000.000000,6005.000000,5894.578125,53107500
2021-07-28,6005.000000,6010.000000,5970.000000,5980.000000,5870.037598,74133000
2021-07-29,6055.000000,6085.000000,5980.000000,6040.000000,5928.934570,84605000
2021-07-30,6040.000000,6100.000000,5960.000000,5970.000000,5860.221680,105685000
2021-08-02,6060.000000,6065.000000,5905.000000,5960.000000,5850.405273,119981500
2021-08-03,6025.000000,6180.000000,5985.000000,6145.000000,6032.003906,110071500
2021-08-04,6145.000000,6150.000000,6060.000000,6120.000000,6007.463379,41112000
2021-08-05,6170.000000,6310.000000,6140.000000,6300.000000,6184.153320,93768000
2021-08-06,6360.000000,6360.000000,6135.000000,6160.000000,6046.728027,67285000
2021-08-09,6135.000000,6200.000000,6105.000000,6200.000000,6085.992188,52858500
2021-08-10,6250.000000,6300.000000,6115.000000,6300.000000,6184.153320,60446000
2021-08-12,6120.000000,6320.000000,6120.000000,6300.000000,6184.153320,118325500
2021-08-13,6350.000000,6435.000000,6325.000000,6410.000000,6292.130859,86929000
2021-08-16,6420.000000,6420.000000,6305.000000,6420.000000,6301.946777,69282000
2021-08-18,6520.000000,6760.000000,6460.000000,6600.000000,6478.636719,186354500
2021-08-19,6600.000000,6600.000000,6530.000000,6600.000000,6478.636719,100926000
2021-08-20,6600.000000,6600.000000,6510.000000,6600.000000,6478.636719,120163500
2021-08-23,6515.000000,6590.000000,6515.000000,6590.000000,6468.820801,68253000
2021-08-24,6570.000000,6600.000000,6500.000000,6600.000000,6478.636719,59561500
2021-08-25,6600.000000,6605.000000,6585.000000,6600.000000,6478.636719,80751500
2021-08-26,6560.000000,6580.000000,6470.000000,6560.000000,6439.372559,74337000
2021-08-27,6490.000000,6530.000000,6490.000000,6510.000000,6390.291992,71572500
2021-08-30,6530.000000,6580.000000,6520.000000,6565.000000,6444.280762,74564500
2021-08-31,6520.000000,6570.000000,6515.000000,6550.000000,6429.556641,115373500
2021-09-01,6550.000000,6600.000000,6535.000000,6565.000000,6444.280762,67362500
2021-09-02,6525.000000,6575.000000,6455.000000,6540.000000,6419.740234,53257000
2021-09-03,6560.000000,6600.000000,6515.000000,6600.000000,6478.636719,35764500
2021-09-06,6600.000000,6605.000000,6550.000000,6575.000000,6454.096680,36780000
2021-09-07,6595.000000,6605.000000,6570.000000,6570.000000,6449.188477,53902000
2021-09-08,6550.000000,6595.000000,6420.000000,6440.000000,6321.579102,77888000
2021-09-09,6410.000000,6570.000000,6410.000000,6570.000000,6449.188477,110074000
2021-09-10,6495.000000,6565.000000,6495.000000,6520.000000,6400.107910,41483500
2021-09-13,6560.000000,6560.000000,6525.000000,6555.000000,6434.464844,29929000
2021-09-14,6590.000000,6595.000000,6495.000000,6545.000000,6424.648438,51990500
2021-09-15,6545.000000,6550.000000,6485.000000,6495.000000,6375.567871,44514000
2021-09-16,6580.000000,6580.000000,6480.000000,6500.000000,6380.475586,58672500
2021-09-17,6490.000000,6535.000000,6480.000000,6520.000000,6400.107910,117540000
2021-09-20,6570.000000,6590.000000,6510.000000,6585.000000,6463.912598,73157500
2021-09-21,6510.000000,6535.000000,6470.000000,6490.000000,6370.659668,57115500
2021-09-22,6500.000000,6580.000000,6500.000000,6555.000000,6434.464844,68722000
2021-09-23,6555.000000,6590.000000,6545.000000,6580.000000,6459.004395,60998500
2021-09-24,6500.000000,6585.000000,6500.000000,6585.000000,6463.912598,60539500
2021-09-27,6585.000000,6595.000000,6555.000000,6580.000000,6459.004395,55052500
2021-09-28,6540.000000,6560.000000,6500.000000,6520.000000,6400.107910,80186000
2021-09-29,6520.000000,6580.000000,6515.000000,6580.000000,6459.004395,74079000
2021-09-30,6600.000000,7000.000000,6595.000000,7000.000000,6871.281738,156848000
2021-10-01,6900.000000,6900.000000,6710.000000,6760.000000,6635.694824,103954500
2021-10-04,6740.000000,6960.000000,6740.000000,6960.000000,6832.017578,74719000
2021-10-05,6910.000000,6945.000000,6860.000000,6945.000000,6817.292969,54986500
2021-10-06,6980.000000,7180.000000,6970.000000,7180.000000,7047.971680,174312000
2021-10-07,7175.000000,7175.000000,7080.000000,7160.000000,7028.339844,107263500
2021-10-08,7200.000000,7300.000000,7175.000000,7290.000000,7155.948730,94643500
2021-10-11,7240.000000,7290.000000,7230.000000,7255.000000,7121.592773,47201000
2021-10-12,7255.000000,7320.000000,7245.000000,7320.000000,7185.397461,91067000
2021-10-13,7400.000000,8250.000000,7400.000000,7525.000000,7386.627930,210893300
2021-10-14,7600.000000,7900.000000,7600.000000,7750.000000,7607.490234,138811900
2021-10-15,7800.000000,7875.000000,7450.000000,7650.000000,7509.329102,142378200
2021-10-18,7650.000000,7675.000000,7475.000000,7525.000000,7386.627930,116644300
2021-10-19,7475.000000,7525.000000,7350.000000,7500.000000,7362.087402,134601200
2021-10-21,7500.000000,7550.000000,7350.000000,7400.000000,7263.926270,106120100
2021-10-22,7450.000000,7550.000000,7425.000000,7525.000000,7386.627930,96730700
2021-10-25,7400.000000,7525.000000,7400.000000,7525.000000,7386.627930,60329800
2021-10-26,7600.000000,7600.000000,7500.000000,7525.000000,7386.627930,70103000
2021-10-27,7575.000000,7575.000000,7425.000000,7450.000000,7313.006836,57067000
2021-10-28,7350.000000,7425.000000,7350.000000,7375.000000,7239.386230,75271900
2021-10-29,7450.000000,7475.000000,7375.000000,7475.000000,7337.547363,60639200
2021-11-01,7550.000000,7550.000000,7400.000000,7400.000000,7263.926270,38593400
