Datetime,Tweet Id,Text,Username
2022-04-01 07:23:02+00:00,1509793446705307651,"['hari', 'gaji', 'mbanking', 'bca', 'https']",elokkaaa
2022-04-01 07:22:52+00:00,1509793403785322501,"['mbanking', 'bca', 'napas', 'saldo', 'gue', 'kosong']",pararaskidipapa
2022-04-01 07:22:39+00:00,1509793349762531328,"['mbanking', 'bca', 'sik', 'pen', 'bayar', 'tiket', 'kereta', 'ni', 'halobca']",dimaasfajriaan
2022-04-01 07:22:06+00:00,1509793208452014080,"['klo', 'kafir', 'quraisy', 'yg', 'lempar', 'kotor', 'unta', 'wajah', 'nabi', 'saw', 'skrng', 'umat', 'yg', 'lempar', 'kotor', 'dosa', 'wajah', 'nabi', 'saw', 'hastag', 'kepalapundaklututbi', 'tigaperiodendasmu', 'jumatberkah', 'mbanking', 'bca', 'pertalite', 'prokes', 'tarawih', 'apdesi', 'ppn', 'https']",ferry_update
2022-04-01 07:22:05+00:00,1509793204794658819,"['yuk', 'muhasabah', 'mbanking', 'bca', 'error', 'halobca', 'https']",agungsanda
2022-04-01 07:22:03+00:00,1509793199312683020,"['mbanking', 'bca', 'kampret', 'panik', 'gua']",riefkyferian
2022-04-01 07:21:48+00:00,1509793134187753472,"['pagi', 'pikir', 'pindahin', 'uang', 'gopay', 'bca', 'makan', 'kirim', 'barang', 'eh', 'bener', 'mbanking', 'bca', 'error', 'untung', 'pindahin', 'uang', 'gopay']",ninoriano
2022-04-01 07:21:32+00:00,1509793066831384576,"['fiks', 'gue', 'gak', 'makan', 'siang', 'mbanking', 'bca', 'gk', 'buka']",Andriahmad___
2022-04-01 07:21:31+00:00,1509793061244571652,"['ku', 'mbanking', 'bca', 'ku', 'aja', 'yg', 'error', 'cek', 'twitter', 'eh', 'beneran', 'error']",1Rul27BigWin
2022-04-01 07:20:46+00:00,1509792874346389509,"['alhamdulillah', 'mbanking', 'bca', 'udha']",sjxact_
2022-04-01 07:20:38+00:00,1509792842079940612,"['mbanking', 'bca', 'lg', 'sih']",echanlew
2022-04-01 07:20:33+00:00,1509792818738655237,"['when', 'mbanking', 'bca', 'always', 'on', 'trouble', 'meanwhile', 'brimo', 'gencar', 'promosi', 'https']",kyvngja
2022-04-01 07:20:08+00:00,1509792713155170335,"['air', 'galon', 'dispenser', 'mito', 'mito', 'terima', 'kasih', 'rosmawati', 'pesan', 'service', 'gt', 'lokasi', 'banda', 'https', 'mbanking', 'bca', 'psis', 'ramadhanpat']",urgent_id
2022-04-01 07:19:58+00:00,1509792673779322880,"['mbanking', 'bca', 'eror', 'cek', 'ya', 'twitter', 'tau', 'yg', 'eror', 'punya', 'doang', 'yg', 'jg']",makprett
2022-04-01 07:19:39+00:00,1509792591814209541,"['bca', 'jd', 'ganggu', 'halobca', 'mbanking', 'bca']",nasgorsuki
2022-04-01 07:19:25+00:00,1509792532632580098,"['mbanking', 'bca', 'eror', 'po', 'yaa', 'ya', 'allah', 'wet', 'ruwet']",dimaskrik
2022-04-01 07:18:51+00:00,1509792390114324483,"['mbanking', 'bca', 'error', 'ya']",vanmisuvv
2022-04-01 07:18:40+00:00,1509792345067196428,"['mbanking', 'bca', 'error', 'ya', 'ngga', 'ngebolehin', 'cekout', 'nih', 'wkwkwkwk']",gochaaniia
2022-04-01 07:18:39+00:00,1509792341124853760,"['halobca', 'min', 'mbanking', 'bca', 'error', 'kah']",Danijp_
2022-04-01 07:18:33+00:00,1509792316428468228,"['sial', 'gaji', 'mbanking', 'bca', 'eror']",lelelela_
2022-04-01 07:18:26+00:00,1509792285126389760,"['chekout', 'mbanking', 'bca', 'error', 'beli', 'sepatu', 'dsini', 'https', 'gemesehh', 'bgt', 'sepatu', 'nya', 'https']",arianyti
2022-04-01 07:17:50+00:00,1509792137965355009,"['mbanking', 'bca', 'udah', 'guys', 'smpt', 'dagdig', 'ga', 'wkwk']",Stefanyfany2231
